_id,Site,Province,Region,SNRT_RS,Latitude,Longitude,Altitude,Category,TNT,FM,ConfigUser,CreationDate,Photo,control,Code,Fixe,Gsm,files,AM,Administration,FH,ST
14,Ait Hani,Tinghire,Darâa-Tafilalet,Fès-Meknès,31.776642,-5.458109,1982,P,true,true,m.benhmidou,2024-08-18T18:17:31.490Z,,false,4077,,0674908930,,false,false,false,false
15,Ait-boulli,Azilal,Beni Mellal-Khénifra,Casablanca,31.601389,-6.606944,1685,P,true,true,h.zagrari,2024-08-18T18:18:32.108Z,,false,,,,,false,false,false,false
16,Ait-mhammed,Azilal,Beni Mellal-Khénifra,Casablanca,31.879444,-6.479722,1717,P,true,true,h.attahir,2024-08-18T18:18:53.942Z,,false,,4047,0674908903,,false,false,false,false
17,Ait-ouaarda,Azilal,Beni Mellal-Khénifra,Casablanca,32.122778,-6.535278,1000,A,false,false,l.elbouti,2024-08-18T18:22:51.610Z,,false,,,0674908903,,false,false,false,false
18,Ait-sedrat-soufla,Tinghire,Darâa-Tafilalet,Marrakech,31.492103,-5.953404,1671,P,true,true,b.haddad,2024-08-18T18:23:23.920Z,,false,5000,,0674908908,,false,false,false,false
19,Ajdir,Taza,Fès-Meknès,Fès-Meknès,34.712925,-3.962972,1629,P,true,true,m.benhmidou,2024-08-18T18:24:03.088Z,,false,4077,,0674908930,,false,false,false,false
20,Akka,Tata,Sous-Massa,Agadir,29.38837,-8.25144,530,P,true,true,b.mellouki,2024-08-18T18:24:24.412Z,,false,4068,0528802169,0674908927,,false,false,false,false
21,Akka Ighan,Tata,Sous-Massa,Agadir,29.996389,-7.5275,787,P,true,true,b.mellouki,2024-08-18T18:24:42.671Z,,false,4068,0528802169,0674908927,,false,false,false,false
22,Aknoul,Taza,Fès-Meknès,Fès-Meknès,34.651721,-3.868414,1121,P,true,true,h.zagrari,2025-01-07T12:03:57.502Z,,false,4077,,0674908930,,false,false,false,false
23,El Menzel,Sefrou,Fès-Meknès,Fès-Meknès,33.841582,-4.551942,720,P,true,true,m.benhmidou,2024-07-04T12:27:53.964Z,,false,4077,,0674908930,,,,,
24,Allougoum,Tata,Sous-Massa,Agadir,30.273333,-6.835,844,M,true,true,b.mellouki,2024-08-07T23:10:34.792Z,,false,4068,0528802169,0674908927,,,,,
25,Alnif,Tinghire,Darâa-Tafilalet,Fès-Meknès,31.31635,-5.283893,1411,P,true,true,m.benhmidou,2024-07-04T11:45:53.561Z,,false,4077,,0674908930,,,,,
26,Amellagou,Errachidia,Darâa-Tafilalet,Fès-Meknès,31.996427,-5.002072,1332,P,true,true,m.benhmidou,2024-07-04T11:48:17.935Z,,false,4077,,0674908930,,,,,
27,Amalenne,Tiznit,Sous-Massa,Agadir,29.753611,-8.966667,913,P,true,false,l.elbouti,2024-03-22T12:04:02.065Z,,false,,,,,,,,
28,Amoguer,Midelt,Darâa-Tafilalet,Fès-Meknès,32.274642,-4.937482,1630,P,true,true,m.benhmidou,2024-07-04T11:50:20.559Z,,false,4077,,0674908930,,,,,
29,Anefgou,Midelt,Beni Mellal-Khénifra,Fès-Meknès,32.286317,-5.398643,1980,P,true,true,h.zagrari,2024-08-24T17:34:49.940Z,,false,4077,,0674908930,,false,false,false,false
30,Anemzi,Midelt,Beni Mellal-Khénifra,Fès-Meknès,32.323756,-5.267043,2350,P,true,true,h.zagrari,2024-08-24T17:35:15.285Z,,false,4077,,0674908930,,false,false,false,false
31,Anzi,Tiznit,Sous-Massa,Agadir,29.659722,-9.385278,520,P,true,false,l.elbouti,2024-03-22T12:21:27.909Z,,false,,,,,,,,
32,Aoufous,Errachidia,Darâa-Tafilalet,Fès-Meknès,31.69104,-4.180849,905,P,true,true,m.benhmidou,2024-07-04T12:00:50.906Z,,false,4077,,0674908930,,,,,
33,Aoulouz,Taroudant,Sous-Massa,Agadir,30.663333,-8.187222,689,P,true,true,a.atia,2024-08-01T16:41:14.825Z,,false,4075,,0674908934,,,,,
34,Aourir,Agadir,Sous-Massa,Agadir,30.489167,-9.646944,280,P,true,true,l.elbouti,2024-03-25T14:35:46.280Z,,false,,,,,,,,
35,Argana,Taroudant,Sous-Massa,Agadir,30.777204,-9.122353,1240,P,true,false,l.elbouti,2024-03-25T14:37:04.089Z,,false,,,,,,,,
36,Assekal,Taroudant,Sous-Massa,Agadir,30.641111,-9.286111,1179,M,true,true,l.elbouti,2024-03-25T14:39:38.390Z,,false,,,,,,,,
37,Assa,Assa-Zag,Guelmim-Oued Noun,Agadir,28.604167,-9.431944,338,M,true,true,h.zagrari,2025-01-08T10:47:16.462Z,,false,,,,,false,false,false,false
38,Assoul,Tinghire,Darâa-Tafilalet,Fès-Meknès,31.950037,-5.207513,1647,P,true,true,m.benhmidou,2024-07-04T12:03:16.606Z,,false,4077,,0674908930,,,,,
39,Azagar N'Irs,Taroudant,Sous-Massa,Agadir,30.304167,-8.243611,1182,P,true,true,l.elbouti,2024-03-25T14:43:25.516Z,,false,,,,,,,,
40,Azilal (azlafen),Azilal,Beni Mellal-Khénifra,Casablanca,31.966111,-6.57,1372,P,true,false,l.elbouti,2024-07-05T11:34:06.424Z,,false,,,0674908903,,,,,
